編號,詞語,發音,音檔
181,감기,gam**ː**gi,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/301262/SND000310616.mp3
186,감기약,gam**ː**giyag,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/295309/SND000304663.mp3
191,감다,gam**ː**tta,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/308303/SND000317657.mp3
196,감동,gam**ː**dong,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/326736/SND000336090.mp3
201,감동하다,gam**ː**donghada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/296302/SND000305656.mp3
206,감사,gam**ː**sa,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/308418/SND000317772.mp3
211,감사드립니다,gam**ː**sadeuri**m**nida,
216,감사하다,gam**ː**sahada,
221,감사합니다,gam**ː**saha**m**nida,
222,감상,gam**ː**sang,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120223/31989/SND000020692.mp3
226,감자,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442905/SND000020782.mp3
231,감자탕,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/10000/01000/294149/SND000303503.mp3
236,갑자기,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32515/SND000021218.mp3
241,값,ga**p**,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442949/SND000021211.mp3
246,강,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442924/SND000021023.mp3
247,강냉이,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442931/SND000021090.mp3
251,강아지,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120223/32321/SND000021024.mp3
256,강의,gang**ː**ui,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/32000/294602/SND000303956.mp3
261,강좌,gang**ː**jwa,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/32000/296618/SND000305972.mp3
263,강하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/32000/320303/SND000329657.mp3
266,갖다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32689/SND000021392.mp3
271,같다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32689/SND000021392.mp3
273,같아지다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32675/SND000021378.mp3
276,같이,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442831/SND000019954.mp3
279,갚다 ,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32545/SND000021248.mp3
281,개,gae**ː**,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/320396/SND000329750.mp3
282,개,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120222/31441/SND000020144.mp3
286,개나리,gae**ː**nali,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/320854/SND000330208.mp3
291,개미,gae**ː**mi,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/294648/SND000304002.mp3
296,개월,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120222/31654/SND000020357.mp3
301,개인,gae**ː**in,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/33000/316557/SND000325911.mp3
306,거기,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32970/SND000021673.mp3
316,거리,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33271/SND000021974.mp3
321,거미,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33095/SND000021798.mp3
326,거스름돈,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33289/SND000021992.mp3
331,거실,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33291/SND000021994.mp3
336,거울,,javascript:fnSoundPlay('https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33321/SND000022024.mp3');
341,거의,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33320/SND000022023.mp3
342,거절,geo**ː**jeol,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/296915/SND000306269.mp3
343,거절되다,geo**ː**jeoldoeda,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/296917/SND000306271.mp3
344,거절하다,geo**ː**jeolhada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/294747/SND000304101.mp3
346,거짓말,geo**ː**ji**n**mal,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/301200/SND000310554.mp3
347,거짓말하다,geo**ː**ji**n**malhada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/296946/SND000306300.mp3
351,걱정,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32984/SND000021687.mp3
352,걱정되다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32985/SND000021688.mp3
356,걱정하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32988/SND000021691.mp3
361,건강,geon**ː**gang,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/304151/SND000313505.mp3
366,건강하다,geon**ː**ganghada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/295349/SND000304703.mp3
371,건너가다,geon**ː**neogada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/316559/SND000325913.mp3
376,건너다,geon**ː**neoda,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/20000/13000/311097/SND000320451.mp3
377,건너오다,geon**ː**neooda,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/311521/SND000320875.mp3
381,건너편,geon**ː**neopyeon,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/10000/01000/308369/SND000317723.mp3
386,건물,geon**ː**mul,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/300874/SND000310228.mp3
391,건배,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33193/SND000021896.mp3
396,걷다,geod**ː**tta,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/301417/SND000310771.mp3
401,걸다,geol**ː**da,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33001/SND000021704.mp3
406,걸리다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/339157/SND000348511.mp3
411,걸어가다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33260/SND000021963.mp3
416,걸어오다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33261/SND000021964.mp3
417,걸음,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120308/40608/SND000029311.mp3
418,검사,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/295323/SND000304677.mp3
419,검사하다,geom**ː**sahada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/299084/SND000308438.mp3
421,검은색,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33093/SND000021796.mp3
422,검정,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120308/40529/SND000029232.mp3
426,것,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33295/SND000021998.mp3
427,겉,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33295/SND000021998.mp3
431,게,,
432,게스트,,
433,게으르다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32820/SND000021523.mp3
434,게이머,,
441,게임,,
442,게임기,,
443,게임방,,
451,겨울,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120304/37989/SND000026692.mp3
456,겨울방학,,
466,결과,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37456/SND000026159.mp3
471,결석하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37525/SND000026228.mp3
472,결심,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37541/SND000026244.mp3
473,결심하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37542/SND000026245.mp3
476,결정,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/42769/SND000031472.mp3
477,결정되다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/42770/SND000031473.mp3
481,결정하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/42772/SND000031475.mp3
486,결혼,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37469/SND000026172.mp3
491,결혼식,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/37000/302707/SND000312061.mp3
496,결혼하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37472/SND000026175.mp3
501,경기,gyeongl**ː**gi,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/38000/316562/SND000325916.mp3
506,경기장,gyeongl**ː**gijang,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/38000/302989/SND000312343.mp3
507,경기하다,gyeongl**ː**gihada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/38000/302990/SND000312344.mp3
516,경주,gyeong**ː**ju,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/40000/325099/SND000334453.mp3
521,경찰,gyeong**ː**chal,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/299649/SND000309003.mp3
526,경찰관,gyeong**ː**chalgwan,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/299650/SND000309004.mp3
531,경찰서,gyeong**ː**chalsseo,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/299662/SND000309016.mp3
536,경치,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/42864/SND000031567.mp3
541,경험,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/42886/SND000031589.mp3
542,경험되다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/299721/SND000309075.mp3
543,경험하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/299736/SND000309090.mp3
546,계단,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/42697/SND000031400.mp3
551,계란,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120304/38005/SND000026708.mp3
552,계산,gye**ː**san,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/42000/299840/SND000309194.mp3
556,계산하다,gye**ː**sanhada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/42000/318898/SND000328252.mp3
561,계속,gye**ː**sog,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/43000/295489/SND000304843.mp3
562,계속되다,gye**ː**sogttoeda,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37343/SND000026046.mp3
563,계속하다,gye**ː**soghada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/43000/295517/SND000304871.mp3
566,계시다,gye**ː**sida,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/295563/SND000304917.mp3
571,계절,gye**ː**jeol,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/43000/297520/SND000306874.mp3
572,계좌번호,,
581,계획,gye**ː**hoeg,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/44000/297987/SND000307341.mp3
582,계획되다,gye**ː**hoegttoeda,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/44000/298001/SND000307355.mp3
583,계획하다,gye**ː**hoeghada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/44000/318912/SND000328266.mp3
586,-고,,
587,고개,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120228/34819/SND000023522.mp3
588,고구마,go**ː**guma,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/300885/SND000310239.mp3
591,고기,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/295127/SND000304481.mp3
596,고등학교,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120227/34759/SND000023462.mp3
601,고등학생,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120309/41334/SND000030037.mp3
606,고르다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120229/35605/SND000024308.mp3
616,고맙다,go**ː**mabtta,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/296770/SND000306124.mp3
626,고모,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120228/35072/SND000023775.mp3
631,고모부,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/45000/296782/SND000306136.mp3
632,고민,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120228/35067/SND000023770.mp3
633,고민되다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/45000/296347/SND000305701.mp3
634,고민하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/45000/296359/SND000305713.mp3
636,고속버스,,
641,고양이,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120229/35697/SND000024400.mp3
646,고장,go**ː**jang,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/33000/296269/SND000305623.mp3
651,고추,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120227/34734/SND000023437.mp3
656,고추장,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/48000/295883/SND000305237.mp3
661,고치다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120227/34726/SND000023429.mp3
666,고프다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120310/41813/SND000030516.mp3
671,고향,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120228/34902/SND000023605.mp3
676,곧,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120310/41886/SND000030589.mp3
681,골목,gol**ː**mog,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/295867/SND000305221.mp3
686,골프,,
691,곰,gom**ː**,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/300727/SND000310081.mp3
696,곱다,gob**ː**tta,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/298934/SND000308288.mp3
701,곳,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120310/41886/SND000030589.mp3
706,공,gong**ː**,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/296532/SND000305886.mp3
711,공간,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120228/35347/SND000024050.mp3
716,공기,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120228/35352/SND000024055.mp3
721,공무원,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/36000/297899/SND000307253.mp3
726,공부,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120228/35297/SND000024000.mp3
731,공부하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/37000/298070/SND000307424.mp3
736,공연,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120229/35547/SND000024250.mp3
741,공원,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120229/35536/SND000024239.mp3
742,공장,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/38000/318811/SND000328165.mp3
746,공중전화,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/38000/298220/SND000307574.mp3
751,공짜,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120229/35427/SND000024130.mp3
756,공책,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120310/41635/SND000030338.mp3
761,공항,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120310/41693/SND000030396.mp3
766,공휴일,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/38000/300332/SND000309686.mp3
776,과,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120302/36622/SND000025325.mp3
771,-과,,
781,과거,gwa**ː**geo,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/38000/300358/SND000309712.mp3
786,과일,gwa**ː**il,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/295776/SND000305130.mp3
791,과자,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120302/36666/SND000025369.mp3
796,과학,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120302/36647/SND000025350.mp3
801,관계,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120311/42462/SND000031165.mp3
802,관계되다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120311/42463/SND000031166.mp3
803,관광,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120302/36896/SND000025599.mp3
806,관광지,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/39000/297440/SND000306794.mp3
811,관광하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/39000/297433/SND000306787.mp3
812,관광호텔,,
816,관심,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120302/36989/SND000025692.mp3
821,광고,gwang**ː**go,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/40000/318796/SND000328150.mp3
822,광고하다,gwang**ː**gohada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/40000/302662/SND000312016.mp3
826,괜찮다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120302/36633/SND000025336.mp3
836,교과서,gyo**ː**gwaseo,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/301261/SND000310615.mp3
837,교사,gyo**ː**sa,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120304/38084/SND000026787.mp3
841,교수,gyo**ː**su,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/302726/SND000312080.mp3
846,교실,gyo**ː**sil,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/320777/SND000330131.mp3
847,교육,gyo**ː**yug,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/311874/SND000321228.mp3
848,교육되다,gyo**ː**yugttoeda,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/303084/SND000312438.mp3
849,교육하다,gyo**ː**yughada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/303661/SND000313015.mp3
851,교체,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120304/38146/SND000026849.mp3
856,교통,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120304/38228/SND000026931.mp3
861,교통사고,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/303898/SND000313252.mp3
862,교환,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120304/38173/SND000026876.mp3
863,교환되다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/43049/SND000031752.mp3
864,교환하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/298475/SND000307829.mp3
866,교회,gyo**ː**hoe,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/320663/SND000330017.mp3
871,구,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/303551/SND000312905.mp3
876,구경,gu**ː**gyeong,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/320794/SND000330148.mp3
881,구경하다,gu**ː**gyeonghada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/318747/SND000328101.mp3
886,구두,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120229/35892/SND000024595.mp3
891,구름,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120301/36416/SND000025119.mp3
896,구십,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/42000/341657/SND000351011.mp3
